flight_number,date_utc,rocket,success,payloads,launchpad
105,2020-10-24T15:31:00.000Z,5e9d0d95eda69973a809d1ec,True,['5ef6a4ea0059c33cee4a82a2'],5e9e4501f509094ba4566f84
106,2020-11-05T23:24:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4d2b6c3bb0006eeb25e'],5e9e4501f509094ba4566f84
107,2020-11-16T00:27:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4d2b6c3bb0006eeb25f'],5e9e4502f509094188566f88
108,2020-11-21T17:17:00.000Z,5e9d0d95eda69973a809d1ec,True,['5ed9867c1f30554030d45c40'],5e9e4502f509092b78566f87
109,2020-11-25T02:13:00.000Z,5e9d0d95eda69973a809d1ec,True,['5fb95c263a88ae63c9546044'],5e9e4501f509094ba4566f84
110,2020-12-06T16:17:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4d3b6c3bb0006eeb262'],5e9e4502f509094188566f88
111,2020-12-13T17:30:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4d2b6c3bb0006eeb25d'],5e9e4501f509094ba4566f84
112,2020-12-19T14:00:00.000Z,5e9d0d95eda69973a809d1ec,True,['5f839ac7818d8b59f5740d48'],5e9e4502f509094188566f88
113,2021-01-08T02:15:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4d3b6c3bb0006eeb264'],5e9e4501f509094ba4566f84
114,2021-01-20T13:02:00.000Z,5e9d0d95eda69973a809d1ec,True,['5fbfedba54ceb10a5664c813'],5e9e4502f509094188566f88
115,2021-01-24T15:00:00.000Z,5e9d0d95eda69973a809d1ec,True,['5fd3871a7faea57d297c86c6'],5e9e4501f509094ba4566f84
116,2021-02-04T06:19:00.000Z,5e9d0d95eda69973a809d1ec,True,['5ff655769257f579ee3a6c64'],5e9e4501f509094ba4566f84
117,2021-02-16T03:59:00.000Z,5e9d0d95eda69973a809d1ec,True,['600f9bc08f798e2a4d5f97a4'],5e9e4501f509094ba4566f84
118,2021-03-04T08:24:00.000Z,5e9d0d95eda69973a809d1ec,True,['5fbfedc654ceb10a5664c814'],5e9e4502f509094188566f88
119,2021-03-11T08:13:00.000Z,5e9d0d95eda69973a809d1ec,True,['600f9bcb8f798e2a4d5f97a5'],5e9e4501f509094ba4566f84
120,2021-03-14T10:01:00.000Z,5e9d0d95eda69973a809d1ec,True,['600f9bd88f798e2a4d5f97a6'],5e9e4502f509094188566f88
121,2021-03-24T08:28:00.000Z,5e9d0d95eda69973a809d1ec,True,['60428afbc041c16716f73cdd'],5e9e4501f509094ba4566f84
